Fecha,Medio,Título,Resumen
2025-06-09,Panorama Universitario,Librero // Reflexiones en torno a la importancia de la capacitación pedagógica para el profesorado sin formación docente del Tecnológico Nacional de México,Reflexiones en torno a la importancia de la capacitación pedagógica para el profesorado sin formación docente del Tecnológico Nacional de México.
2025-06-09,Somos Comunidad CDMX (sitio),Gestión de residuos: un desafío colectivo en tiempos complejos,Por: Cecilia Perezgasga Ciscomani
2025-06-09,UAM CDMX (Sitio),Celebran la trayectoria del doctor Óscar Monroy Hermosillo,En el marco de la entrega del Premio Christopher Augur fue reconocida la labor del ex rector de la Unidad Iztapalapa de la UAM
2025-06-09,UAM CDMX (Sitio),Arranca el Mes de los de la Casa en la Unidad Lerma de la UAM,"La iniciativa fortalece el sentido de pertenencia y compromiso dentro de nuestra comunidad, afirmó Gabriel Soto Cortés, rector de la Unidad Lerma"
2025-06-09,La Jornada,UAM estima elevar 11.8% admisión sin examen a egresados del Colbach: rector,PREVÉ UNA SUCESORA EN SU CARGO
2025-06-09,ContraRéplica,Inicia operaciones Línea 13 del Trolebús,CONECTA CONSTITUCIÓN DE 1917 con Mixcoac y beneficiará a 36 mil usuarios.
2025-06-09,Publimetro,Falta de cultura vial complica arranque de L13 del Trolebús,"Autos, motos y microbuses entorpecen recorrido de la nueva línea de transporte en Eje la circulación del trolebús sufrió demoras por automóviles que se estacionan en el carril confinado."
2025-06-09,ES El País,La saturación del sistema público aboca a más de la mitad de los mexicanos a la salud privada,"Después de consultar a dos especialistas, asistir a cinco consultas y pagar dos rondas de laboratorios privados, Georgina Sánchez aún no tiene diagnóstico, pero sí 15.000 pesos menos. Su caso no es aislado. Según los resultados de la última Encuesta Nacional de Salud y Nutrición, el 54% de la población en México acude a servicios médicos privados, ya sea por la saturación del sector público o por la falta de acceso a este. La falta de regulación de este mercado permite que algunas clínicas establezcan tarifas elevadas sin justificación clara."
2025-06-09,Poder EDO.MEX (sitio),Abrieron convocatoria para elegir al nuevo Rector General de la UAM,"La Junta Directiva de la Universidad Autónoma Metropolitana (UAM) ha abierto el proceso de selección para la persona que ocupará la Rectoría General durante el periodo 2025-2029, en cumplimiento de la Ley Orgánica de la Universidad y su Reglamento, dado que el próximo 3 de julio de 2025 concluirá la gestión del actual Rector General, doctor José Antonio De los Reyes Heredia."
2025-06-08,Enlace Radial (Sitio),¿Cuáles son las paradas de la nueva Línea 13 del Trolebús que va de Constitución de 1917 a Mixcoac?,"Ayer inició operaciones la Línea 13 del Trolebús que corre de Constitución de 1917 a Mixcoac, misma que transportará 36 mil usuarios al día."
2025-06-08,Publimetro (sitio),"Autos, motos y microbuses entorpecen recorrido de la Línea 13 del Trolebús en Eje 8",La circulación del trolebús sufra demoras en su trayecto debido a automóviles que se estacionan en el carril confinado
2025-06-08,ContraRéplica CDMX (Sitio),Inicia operaciones la nueva Línea 13 del Trolebús que conecta Constitución de 1917 con Mixcoac,"La Ciudad de México cuenta ya con una nueva opción de transporte público. Desde ayer entró en funcionamiento la Línea 13 del Trolebús, que conecta la terminal de Constitución de 1917 con Mixcoac, beneficiando diariamente a aproximadamente 36 mil usuarios.Con un trayecto de 29.9 kilómetros, esta nueva ruta recorre tres alcaldías: Iztapalapa, Benito Juárez y Coyoacán, y opera con 46 unidades 28 articuladas y 18 sencillas. En total, el recorrido contempla 41 paradas intermedias y dos terminales.Las unidades son de última generación, equipadas con tecnologías que garantizan la seguridad y accesibilidad para todos los pasajeros. Entre sus características destacan: cámaras de videovigilancia, rampas de acceso, espacios exclusivos para personas con discapacidad, capacidad de arrodillamiento y áreas designadas para mujeres. Además, tienen una autonomía de hasta 75 kilómetros.Las paradas de esta línea son:""Constitución de 1917, Matías Rodríguez, San Felipe de Jesús, UAM-I, Fundición, Mina, Cerro de la Estrella, Sala Quetzalcóatl, Iztapalapa, Puente Titla, Atlalilco, Toltecas, Ermita Iztapalapa, Maíz, Avena, Mexicaltzingo, J.A. Rivas, Cruz del Sur, Andrés Molina Enríquez, Sur 75-A, y Sur 73.""Y también:""Plutarco Elías Calles, Ermita, Alhambra, Canarias, Eje Central, Tokio, Pirineos, Uxmal, Avenida Cuauhtémoc, Avenida Universidad, Avenida Gabriel Mancera, Avenida Coyoacán, Moras, San Francisco, Las Huertas, Río Churubusco, Galicia, Feliz Parra, Goya, Revolución, Benvenuto Cellini, y Mixcoac.""Esta nueva línea permite conexiones con distintos medios de transporte: las líneas 2, 7, 8 y 12 del Metro; la Línea 2 del Cablebús; las líneas 3 y 10 del Trolebús; las Líneas 1 y 5 del Metrobús; rutas de la RTP, y otros servicios disponibles en los Centros de Transferencia Modal ubicados en Constitución de 1917 y Mixcoac."
2025-06-08,El Universal (sitio),¿Cuáles son las paradas de la nueva Línea 13 del Trolebús que va de Constitución de 1917 a Mixcoac?,"Ayer inició operaciones la Línea 13 del Trolebús que corre de Constitución de 1917 a Mixcoac, misma que transportará 36 mil usuarios al día."
2025-06-08,La Jornada,Usuarios exploran la nueva línea del trolebús,Usuarios exploran la nueva línea del trolebús
2025-06-08,Somos Comunidad CDMX (sitio),Analizan en la UAM legado filosófico de María Zambrano,Por: Alejandro Espinoza Sánchez
2025-06-07,Chilango (sitio),"CDMX estrena Línea 13 del Trolebús, de Mixcoac a Constitución: ¡conecta con 3 líneas de Metro!","La CDMX ya cuenta con un nuevo transporte. Este sábado 7 de junio inició operaciones la Línea 13 del Trolebús, que va desde la zona de Mixcoac, en la alcaldía Benito Juárez, hasta el Metro Constitución de 1917, en Iztapalapa."
2025-06-07,La Jornada Zacatecas ZAC (sitio),La CNTE deja el Zócalo,Por: Hugo Aboites*
2025-06-07,Expansión Política CDMX (sitio),El Trolebús Chalco-Santa Martha arrastra pendientes y enfrenta obstáculos,El Trolebús Elevado Chalco-Santa Martha se estrenó como una nueva apuesta de movilidad en la Zona Metropolitana del Valle de México para conectar el oriente de la Ciudad de México con el Estado de México.
2025-06-07,EDO.MEX Milenio Edo. México,Así eligen a su Rector las 10 mejores universidades del país,"Las diferencias son arraigadas en el ejercicio de los recursos, la matrícula de estudiantes yen el ranking de las instituciones educativas, pero todas ellas cuentan con elecciones similares."
2025-06-07,La Jornada,La CNTE deja el Zócalo,La CNTE deja el Zócalo
2025-06-07,La Jornada (sitio),La CNTE deja el Zócalo,Es una equivocación del gobierno de Claudia Sheinbaum asumir que ha triunfado porque la Coordinadora Nacional de Trabajadores de la Educación (CNTE) se retira del Zócalo. Foto Jair Cabrera Torres
2025-06-06,Central Municipal CDMX (sitio),Ninguna alcaldía de la CDMX está exenta de inundaciones,"Cada segundo, en la Ciudad de México se generan alrededor de un millón de litros de agua residual, lo que aunado a la fuerte intensidad de la temporada de lluvias puede contribuir a inundaciones como las que se han visto en los recientes días, así se dio a conocer en AguaCERO, emisión de UAM Radio 94.1 FM, que versó sobre el tema Lluvias e inundaciones en la CDMX."
2025-06-06,Noticias IMER (Sitio),"De Mixcoac a Constitución de 1917, así será la ruta de la nueva Línea 13 del Trolebús","La nueva Línea 13 del Trolebús conectará Mixcoac con Constitución de 1917 a través de casi 30 kilómetros y 41 paradas distintas, conócelas aquí:"
2025-06-06,Imagen Agropecuaria SLP (Sitio),Conoce el océano dentro de los océanos,Las cuencas oceánicas son grandes depresiones en el fondo del mar que se forman a partir del movimiento de las placas tectónicas de la Tierra que influyen en la circulación de los océanos.
2025-06-06,Heraldo Binario CDMX (sitio),UAM busca nueva titular de rectoría: requisitos y fechas clave para participar,"Ante el fin de la gestión del doctor José Antonio De los Reyes Heredia como rector general de la Universidad Autónoma Metropolitana (UAM), la casa de estudios lanzó la convocatoria para nombrar a la persona que este al frente de esta institución educativa."
2025-06-06,Semanario Zeta Baja California (sitio),Embajador de EU no llega a reunión con Noroña; presidente del Senado lo había presumido,"Ronald Douglas Johnson, ""Ron"", titular de la Embajada de Estados Unidos en México, no llegó, el 6 de junio de 2025, a una reunión programada a las 10:00 horas del mismo día, con José Gerardo Rodolfo Fernández Noroña, quien desde el 1 de septiembre de 2024 es presidente de la Mesa Directiva del Senado de la República, durante el primer año de la LXVI Legislatura."
2025-06-06,Punto por Punto MOR (Sitio),"Cada segundo, se generan alrededor de UN MILLÓN de LITROS de AGUA RESIDUAL en la CDMX","Cada segundo, en la Ciudad de México se generan alrededor de un millón de litros de agua residual, lo que aunado a la fuerte intensidad de la temporada de lluvias puede contribuir a inundaciones como las que se han visto en los recientes días, así se dio a conocer en AguaCERO, emisión de UAM Radio 94.1 FM, que versó sobre el tema Lluvias e inundaciones en la CDMX."
2025-06-06,La Prensa,Todas las alcaldías están en riesgo de inundaciones: UAM,"Hundimientos a causa de lluvias pueden resultar en el rompimiento de tuberías, contaminación del agua limpia y la formación de cuencos."
2025-06-06,La Crónica de Hoy,"Acuíferos ceden agua, comprimidos por las urbes","Cada segundo, en la Ciudad de México se generan alrededor de un millón de litros de agua residual, lo que, aunado a la fuerte intensidad de la temporada de lluvias, puede contribuir a inundaciones como las que se han visto en los recientes días. Así se dio a conocer en AguaCERO, emisión de UAM Radio FM, que versó sobre el tema ""Lluvias e inundaciones en la CDMX""."
2025-06-06,Diario de México,"De inundaciones, no hay alcaldías exentas: subraya un experto","Al segundo hay un millón de litros de agua residual, dicen."
2025-06-05,La Prensa (Sitio),Todas las alcaldías de la CDMX están en riesgo de inundaciones: UAM,"Hundimientos a causa de lluvias pueden resultar en el rompimiento de tuberías, contaminación del agua limpia y la formación de cuencos"
2025-06-05,La Crónica de Hoy (sitio),"Inundaciones en la CDMX: los acuíferos están cediendo agua, comprimidos por las urbes","Las lluvias registradas en los últimos días son consecuencia de un cambio repentino en las condiciones climáticas, señala experto de la UAM"
2025-06-05,Ovaciones (sitio),"Toda la CDMX es susceptible a inundaciones debido a su origen lacustre, advierten especialistas","Especialistas advirtieron que los hundimientos a causa de las lluvias pueden resultar en el rompimiento de tuberías, la contaminación del agua limpia y la formación de cuencos de diferentes zonas de la Ciudad de México, por lo que ninguna alcaldía está exenta de sufrir este problema, debido la condición lacustre del Valle de México."
2025-06-05,De reporteros CDMX (Sitio),"Ninguna alcaldía de la CDMX está exenta de inundaciones, advierte la UAM","* De ello se habló durante la más reciente emisión de AguaCero, emisión de UAM Radio 94.1 FM"
2025-06-05,Diario de México (sitio),Cada segundo hay un millón de litros de agua residual en CDMX: experto,Redacción
2025-06-05,Periodismo y Ambiente CDMX (sitio),"Necesarias, iniciativas colectivas poner fin a la contaminación por plásticos","El Día Mundial del Medio Ambiente 2025 se centra en un tema crucial: poner fin a la contaminación por plásticos. La realidad es que en México, de acuerdo con datos del gobierno federal, se producen cerca de 44.6 millones de toneladas de residuos urbanos, de los cuales, siete millones son plásticos que pueden terminar afectando los ecosistemas."
2025-06-05,Periodismo y Ambiente CDMX (sitio),Necesario abordar los problemas de contaminación que enfrentan los sistemas costeros en México,"Los arrecifes son prioritarios a nivel nacional y ""deberíamos abocarnos en trabajar en su preservación, para lo cual se requiere ofrecer apoyo a investigadoras e investigadores, con el objetivo de realizar estudios y un monitoreo constante"", sostuvo la doctora Laura Georgina Calva Benítez, académica de la Universidad Autónoma Metropolitana (UAM)."
2025-06-05,JAL Reporte Índigo,Advierten sobre toxicidad de cigarrillos electrónicos,"Investigaciones revelaron la presencia de miles de compuestos químicos tóxicos en estos productos como pesticidas, cafeína, entre otros."
2025-06-05,Posta CDMX (Sitio),"Checa las marchas y concentraciones en CDMX para este jueves 5 de junio, ¿seguirá el bloqueo en Insurgentes?","Así como antes de salir consultas las restricciones de movilidad del programa Hoy No Circula en CDMX, es importante estar al pendiente de las marchas y concentraciones que a diario se realizan en las calles de la capital."
2025-06-05,Publimetro (sitio),¡Caos vial! Este jueves 5 de junio CDMX se llena de marchas; revisa las rutas alternas,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán
2025-06-05,Quadratín OAX (Sitio),"Enseñanza de Lengua de Señas Mexicana, crucial para infancias sordas","OAXACA, Oax. 5 de junio de 2025.- Actualmente existe una carencia significativa en la enseñanza de la Lengua de Señas Mexicana (LSM) para las infancias sordas, al menos el 40 por ciento con discapacidad auditiva no tiene acceso a la educación inclusiva en esta lengua, dijo la doctora Miroslava Cruz Aldrete, investigadora del Centro Interdisciplinario de Investigación en Humanidades, de la Universidad Autónoma del Estado de Morelos (UAEM)."
2025-06-05,Forbes México,100 mujeres poderosas,MÉXICO Forbes LEERLA ES NEGOCIO I JUNIO 2025 100 MUJERES PODEROSAS.
2025-06-05,Forbes México,100 mujeres poderosas,MÉXICO Forbes LEERLA ES NEGOCIO I JUNIO 2025 100 MUJERES PODEROSAS.
2025-06-05,Forbes México,100 mujeres poderosas,MÉXICO Forbes LEERLA ES NEGOCIO I JUNIO 2025 100 MUJERES PODEROSAS.
2025-06-05,Forbes México,100 mujeres poderosas,MÉXICO Forbes LEERLA ES NEGOCIO I JUNIO 2025 100 MUJERES PODEROSAS.
2025-06-05,Milenio (sitio),Ellos serán los nuevos ministros de la SCJN tras la elección judicial | Perfiles,"El pasado 1 de junio, la ciudadanía salió a votar para renovar más de 850 cargos del Poder Judicial Federal, entre ellos, los ministros que conformarán la Suprema Corte de Justicia de la Nación (SCJN)."
2025-06-05,López Dóriga (Sitio),Marchas del día en CDMX: estas vialidades se verán afectadas por la CNTE y otras organizaciones,"Estas son las movilizaciones programadas este 5 de junio en la CDMX, para tomar precauciones y rutas alternas"
2025-06-05,NL Reporte Índigo,Advierten sobre toxicidad de cigarrillos electrónicos,"Investigaciones revelaron la presencia de miles de compuestos químicos tóxicos en estos productos como pesticidas, cafeína, entre otros."
2025-06-05,Reporte Índigo,Advierten sobre toxicidad de cigarrillos electrónicos,"Investigaciones revelaron la presencia de miles de compuestos químicos tóxicos en estos productos como pesticidas, cafeína, entre otros."
2025-06-04,Sopitas (sitio),"Ministras y ministros ""casi"" ganadores de la Suprema Corte: Quiénes son y sus trapitos",La lista va desde Lenia Batres hasta el ministro Chicharrón.
2025-06-04,Capital de México (sitio),Advierten especialistas de UAM sobre toxicidad de cigarrillos electrónicos,"Diversos estudios sobre los componentes de los cigarros electrónicos revelan la presencia de miles de químicos, potencialmente dañinos para la salud de los consumidores, informaron especialistas de la Universidad Autónoma Metropolitana (UAM)."
2025-06-04,Nexos,Sembradas de sal estéril,"E ENSAYO n 1566 los hermanos Ávila fueron condenados a muerte en la Nueva España. Juan Suárez de Peralta, que se halló en sus exequias, afirma haber visto una ""cabeza en la picota, atravesado un largo clavo desde la coronilla de ella e hincado, metido por aquel regalado casco, atravesando los sesos y carne delicada"", y cuando pasó por la plaza confiesa que vio las cabezas de estos caballeros ""con tantas lágrimas de mis ojos, que no sé yo en vida haber llorado tanto""."
2025-06-04,MSN Noticias EU (sitio),Morena expande su poder en la Corte Suprema tras elecciones judiciales en México,"El partido gobernante de México, Morena, ganará control de la Corte Suprema tras las primeras elecciones judiciales en el país, que estuvieron marcadas por una baja participación electoral y alegaciones de un intento de apropiación de poder."
2025-06-03,De reporteros CDMX (Sitio),"Bebida simbiótica antidiabética a base de aguamiel, diseñan investigadores de la UAM","* La doctora Alma Elizabeth Cruz Guerrero encabeza un equipo que trabaja en la etapa básica del proyecto, que también busca favorecer a productores de agave"
2025-06-03,TLAX El Sol de Tlaxcala,"Preocupante, tema de linchamientos","En Tlaxcala, Hidalgo y Puebla los linchamientos son un hecho reciente que tienen menos de una década respecto a otros puntos del país, pero las cifras registradas en los primeros cuatro meses de 2025 situaron a la entidad entre los primeros cinco lugares a nivel nacional, reveló Raúl Rodríguez Guillén, profesor e investigador en la Universidad Autónoma de Tlaxcala (UATx) y la Universidad Autónoma Metropolitana unidad Azcapotzalco."
2025-06-03,DiMe News CDMX (sitio),Claudia Sheinbaum en las 100 Mujeres más Poderosas de México 2025,"CIUDAD DE MÉXICO.- ""No llego sola, llegamos todas"", dice la presidenta Claudia Sheinbaum Pardo frente a las mexicanas que dan testimonio de la primera mujer electa en las urnas para conducir el destino de México y quienes guardan la promesa de mejores condiciones para todas las mujeres."
2025-06-03,Animal Político (sitio),México y sus compromisos incumplidos en materia climática,"Las 9 dimensiones de la crisis planetaria
 De acuerdo con los hallazgos del Sexto Informe de Evaluación del Panel Intergubernamental sobre Cambio Climático (IPCC), las actividades humanas son responsables del aumento de las emisiones de dióxido de carbono, lo que ha contribuido significativamente al incremento de la temperatura global. Entre los principales factores se encuentran la mala gestión de los bienes naturales, los cambios en el uso del suelo, así como los patrones insostenibles de consumo y producción."
2025-06-02,La Crónica de Hoy (sitio),Investigadores de la UAM diseñan una bebida simbiótica antidiabética a base de aguamiel,"La doctora Alma Elizabeth Cruz Guerrero encabeza un equipo que trabaja en la etapa básica del proyecto, que también busca favorecer a productores de agave"
2025-06-02,UAM CDMX (Sitio),El Mes de los de Casa; fortaleciendo a la comunidad UAM,Número 321
2025-06-02,Quadratín OAX (Sitio),Diseñan investigadores de la UAM bebida antidiabética a base de aguamiel,"Un grupo de investigación del Departamento de Biotecnología de la Universidad Autónoma Metropolitana (UAM), liderado por la doctora Alma Elizabeth Cruz Guerrero, trabaja en el diseño de una bebida simbiótica a base de aguamiel, con el propósito de favorecer la salud de las personas que padecen diabetes y contribuir a mejorar la economía de productores de agave."
