Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Fecha,Medio,Título,Resumen
2025-06-06 00:00:00,Heraldo Binario CDMX (sitio),UAM busca nueva titular de rectoría: requisitos y fechas clave para participar,"Ante el fin de la gestión del doctor José Antonio De los Reyes Heredia como rector general de la Universidad Autónoma Metropolitana (UAM), la casa de estudios lanzó la convocatoria para nombrar a la persona que este al frente de esta institución educativa."
2025-06-06 00:00:00,Semanario Zeta Baja California (sitio),Embajador de EU no llega a reunión con Noroña; presidente del Senado lo había presumido,"Ronald Douglas Johnson, ""Ron"", titular de la Embajada de Estados Unidos en México, no llegó, el 6 de junio de 2025, a una reunión programada a las 10:00 horas del mismo día, con José Gerardo Rodolfo Fernández Noroña, quien desde el 1 de septiembre de 2024 es presidente de la Mesa Directiva del Senado de la República, durante el primer año de la LXVI Legislatura."
2025-06-05 00:00:00,Somos News CDMX (sitio),"¡Toma tus precauciones! CNTE, estudiantes y comerciantes tendrán marchas hoy 5 de junio en CDMX",Evita tener retrasos y verifica qué vialidades estarán afectadas.
2025-06-05 00:00:00,CCO Noticias (sitio),2 marchas y 13 manifestaciones hoy en la CDMX,"La Ciudad de México vivirá un día de 'locos' con 2 marchas y 13 concentraciones programadas para este jueves 5 de junio de 2025. Estas actividades podrían generar afectaciones viales en diversas zonas de la capital, por lo que se recomienda a la ciudadanía tomar precauciones y considerar rutas alternas."
2025-06-05 00:00:00,El Gráfico (Sitio),Tráfico en CDMX HOY jueves 5 de Junio ¿Dónde habrá marchas y plantones que afecten la vialidad?,"Este jueves 5 de junio, la Ciudad de México vivirá una jornada intensa con al menos 12 manifestaciones programadas, plantones en curso y eventos culturales nocturnos que podrían afectar seriamente la movilidad en varias alcaldías. Aquí te damos el resumen para que planees tus traslados:"
2025-06-05 00:00:00,Guillermo Ortega (Sitio),Caos vial en CDMX: marchas y bloqueos hoy jueves 5 de junio,"Este jueves, la capital del país vivirá una jornada intensa de manifestaciones con dos marchas y 13 concentraciones sociales, sindicales y estudiantiles que podrían afectar la movilidad en varias alcaldías."
2025-06-05 00:00:00,Posta CDMX (Sitio),"Checa las marchas y concentraciones en CDMX para este jueves 5 de junio, ¿seguirá el bloqueo en Insurgentes?","Así como antes de salir consultas las restricciones de movilidad del programa Hoy No Circula en CDMX, es importante estar al pendiente de las marchas y concentraciones que a diario se realizan en las calles de la capital."
2025-06-05 00:00:00,Excélsior (Sitio),2 marchas y 13 manifestaciones 'ahorcarán' HOY la CDMX; van las alternativas,"La Ciudad de México vivirá un día de 'locos' con 2 marchas y 13 concentraciones programadas para este jueves 5 de junio de 2025. Estas actividades podrían generar afectaciones viales en diversas zonas de la capital, por lo que se recomienda a la ciudadanía tomar precauciones y considerar rutas alternas."
2025-06-05 00:00:00,Publimetro (sitio),¡Caos vial! Este jueves 5 de junio CDMX se llena de marchas; revisa las rutas alternas,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán
2025-06-05 00:00:00,López Dóriga (Sitio),Marchas del día en CDMX: estas vialidades se verán afectadas por la CNTE y otras organizaciones,"Estas son las movilizaciones programadas este 5 de junio en la CDMX, para tomar precauciones y rutas alternas"
